cycle,simulation_time,action,green_time,phase,queue_length,total_waiting_time,avg_waiting_time_per_vehicle,occupancy,density,throughput,vehicles_in_detectors,flow_rate,jam_detected,vehicles_through_motorcycle,vehicles_through_passenger,vehicles_through_bus,vehicles_through_truck,total_vehicles_through,cumulative_throughput,avg_speed,fuel_consumption,co2_emission
103,1957.0,0,15,6,48,48,1.0,50.5915277674897,200.0,8.1,48,247.8564128768528,False,1897,364,6,2,2269,949.1000000000003,0.38173798204482184,37285.81418319704,116894.34699863521
104,1976.0,0,15,0,63,63,1.0,66.41429062578433,262.5,6.0,63,249.2079959514175,False,1907,367,6,2,2282,955.1000000000003,0.5794538167922685,47072.4311105841,147576.61714128905
105,1995.0,0,15,3,82,82,1.0,84.24038412483665,341.66666666666663,22.10000000000001,82,249.45112781954944,False,1954,375,6,2,2337,977.2000000000003,0.3567151609758354,63728.78255652716,199795.4086438263
106,2014.0,0,15,6,47,47,1.0,48.3237190320248,195.83333333333331,6.099999999999998,47,249.33217477656464,False,1971,376,6,2,2355,983.3000000000003,0.7634816993023569,38629.86206522636,121108.45202081914
107,2033.0,0,15,0,61,61,1.0,64.66287737225474,254.16666666666663,3.499999999999999,61,250.32218396458495,False,1976,378,6,2,2362,986.8000000000003,0.5967763347504133,47794.35574872313,149840.5335167287
108,2052.0,0,15,3,82,82,1.0,86.38122898224658,341.6666666666667,25.50000000000001,82,250.67982456140416,False,2021,390,6,2,2419,1012.3000000000003,0.16920703772387694,65348.16270843243,204872.79266510636
109,2071.0,0,15,6,45,45,1.0,44.517840514364416,187.49999999999997,3.8999999999999995,45,251.1612747465,False,2034,390,6,2,2432,1016.2000000000003,0.9415953377849016,33992.77777777779,106570.27777777771
110,2090.0,0,15,0,53,53,1.0,56.592557252047136,220.83333333333334,4.699999999999999,53,251.3540669856467,False,2043,392,6,2,2443,1020.9000000000003,0.7301525812204991,36156.885912565405,113355.14088009147
111,2109.0,0,15,3,81,81,1.0,84.36705595939105,337.5,21.10000000000001,81,251.88477951635926,False,2090,399,6,2,2497,1042.0000000000002,0.3650620205488123,61169.24554166626,191771.73444844756
112,2128.0,0,15,6,46,46,1.0,47.492705236300495,191.66666666666669,6.999999999999998,46,251.53900375939935,False,2100,403,6,2,2511,1049.0000000000002,0.7521500835514747,35959.882550082555,112738.03536136734
113,2147.0,0,15,0,58,58,1.0,66.06861503059406,241.66666666666663,7.499999999999999,58,253.04378202142613,False,2115,406,6,2,2529,1056.5000000000002,0.7221056579162167,38676.017935495365,121254.12892680954
114,2166.0,0,15,3,77,77,1.0,83.6253800973466,320.8333333333333,21.600000000000012,77,253.69113573407296,False,2157,413,6,3,2579,1078.1000000000001,0.24418094221317513,60168.94687800069,188737.5310961718
115,2185.0,0,15,6,50,50,1.0,49.443157603993775,208.33333333333331,2.9999999999999996,50,253.2768878718545,False,2167,413,6,3,2589,1081.1000000000001,0.9499593177545711,37341.666666666664,117069.16666666657
116,2204.0,0,15,0,62,62,1.0,62.49605593987657,258.33333333333337,3.2999999999999994,62,253.2577132486398,False,2178,413,6,3,2600,1084.4,0.5156193827171214,46347.12513692561,145302.17861656006
117,2223.0,0,15,3,77,77,1.0,79.6635125770687,320.8333333333333,22.800000000000004,77,253.29959514170142,False,2224,422,6,3,2655,1107.2,0.27048038967405036,61892.09378659327,194037.88494889086
118,2242.0,0,15,6,43,43,1.0,45.82727743870516,179.16666666666663,4.3999999999999995,43,253.24041034790469,False,2232,424,6,3,2665,1111.6000000000001,0.750641996734744,31370.000000000015,98348.33333333327
119,2261.0,0,15,0,55,55,1.0,61.50287795406078,229.16666666666663,7.599999999999999,55,253.75939849624166,False,2244,428,6,3,2681,1119.2,0.7862204740824806,35466.47374993338,111190.97058063389
120,2280.0,0,15,3,68,68,1.0,74.34702115145664,283.3333333333333,20.900000000000006,68,254.42763157894845,False,2287,436,6,3,2732,1140.1000000000001,0.38224845140589364,52133.54254289233,163444.27666649516
121,2299.0,0,15,6,39,39,1.0,44.48244787463355,162.49999999999997,6.3,39,254.2235754675957,False,2298,439,6,3,2746,1146.4,0.49257329348311785,29543.54150972646,92622.8816055961
122,2318.0,0,15,0,55,55,1.0,61.90435255346667,229.16666666666663,3.9999999999999996,55,255.0517687661789,False,2308,440,6,3,2757,1150.4,0.45742201670735483,39106.1114966258,122649.52373906462
123,2337.0,0,15,3,70,70,1.0,80.3611522460861,291.6666666666667,24.40000000000001,70,255.32734274711285,False,2356,450,6,3,2815,1174.8000000000002,0.30146141566707346,56665.2441219469,177698.604742921
124,2356.0,0,15,6,32,32,1.0,38.37692605587085,133.33333333333331,5.3999999999999995,32,255.52207130730176,False,2364,453,6,3,2826,1180.2000000000003,1.4450702033397382,22994.444444444453,72137.77777777775
125,2375.0,0,15,0,63,63,1.0,68.13542370761307,262.5,6.0,63,256.4526315789486,False,2374,456,6,3,2839,1186.2000000000003,0.767612494110746,40676.31903783025,127570.87500771575
126,2394.0,0,15,3,74,74,1.0,80.16082237466927,308.3333333333333,20.400000000000013,74,256.5225563909787,False,2422,462,6,3,2893,1206.6000000000004,0.3748308853836412,57238.34977431171,179493.94905170196
127,2413.0,0,15,6,41,41,1.0,45.904127271181935,170.83333333333331,7.799999999999999,41,256.0505594695413,False,2438,465,6,3,2912,1214.4000000000003,0.31458363268605394,36876.9218907825,115660.00620529697
128,2432.0,0,15,0,63,63,1.0,69.89414001490866,262.5,4.1,63,257.3992598684224,False,2445,467,6,3,2921,1218.5000000000002,0.8804549502191955,37845.15588672065,118695.32961260395
129,2451.0,0,15,3,88,88,1.0,90.67488373386351,366.66666666666663,23.900000000000013,88,257.6621787025718,False,2488,478,6,3,2975,1242.4000000000003,0.29358659540179777,69714.9169765958,218608.7181615814
